calculated steering, timestamp, original steering
-0.290888,1584543218.112218,-0.155942
-0.203622,1584543218.214340,-0.176937
-0.058178,1584543218.312531,-0.179929
-0.261799,1584543218.412537,-0.167935
-0.145444,1584543218.512110,-0.158942
-0.145444,1584543218.612925,-0.158942
-0.145444,1584543218.714591,-0.158942
-0.261799,1584543218.812368,-0.131946
-0.145444,1584543218.912191,-0.0179858
-0.145444,1584543219.012052,-0.014994
-0.058178,1584543219.112362,-0
-0.029089,1584543219.214256,-0
0.000000,1584543219.312502,-0
-0.087266,1584543219.412444,-0
0.029089,1584543219.512182,-0
0.029089,1584543219.613237,-0
0.029089,1584543219.713912,-0
0.058178,1584543219.812187,-0
0.116355,1584543219.915037,-0
0.116355,1584543220.011805,0.0179946
0.116355,1584543220.112125,0.221928
0.116355,1584543220.214143,-0
-0.145444,1584543220.311719,-0
-0.203622,1584543220.411889,-0
-0.145444,1584543220.511735,-0
-0.174533,1584543220.612369,-0
-0.232710,1584543220.717907,-0
-0.145444,1584543220.811925,-0
-0.116355,1584543220.911619,-0
-0.261799,1584543221.011773,-0
-0.232710,1584543221.111578,-0
-0.290888,1584543221.213655,-0
-0.290888,1584543221.311700,-0.290888
-0.290888,1584543221.411545,-0
-0.290888,1584543221.511552,-0.0269875
-0.203622,1584543221.612551,-0.290888
-0.290888,1584543221.713555,-0
-0.261799,1584543221.811545,-0
-0.290888,1584543221.911641,-0
-0.290888,1584543222.011470,-0.266901
-0.261799,1584543222.111426,-0.290888
-0.261799,1584543222.213620,-0
-0.145444,1584543222.311440,-0
-0.261799,1584543222.411596,-0
-0.203622,1584543222.511613,-0.218918
-0.174533,1584543222.612258,-0.173936
-0.174533,1584543222.713426,-0.0629768
-0.290888,1584543222.811474,-0
-0.203622,1584543222.911478,-0
-0.145444,1584543223.011303,-0
-0.145444,1584543223.111440,-0.0719696
-0.145444,1584543223.213377,-0.110959
-0.290888,1584543223.311403,-0.119952
-0.290888,1584543223.411469,-0.143948
-0.232710,1584543223.511565,-0.0779708
-0.232710,1584543223.615264,-0.00899288
-0.232710,1584543223.714025,-0.00899288
-0.290888,1584543223.811339,-0.0119935
-0.261799,1584543223.911628,-0.0599762
-0.232710,1584543224.012072,-0.0869637
-0.232710,1584543224.111178,-0.0869637
-0.232710,1584543224.213779,-0.0869637
-0.232710,1584543224.311264,-0.119952
-0.232710,1584543224.411274,-0.140948
-0.261799,1584543224.511072,-0.143948
-0.261799,1584543224.611813,-0.143948
-0.290888,1584543224.712650,-0.140948
-0.261799,1584543224.810880,-0.140948
-0.174533,1584543224.911098,-0.0509744
-0.290888,1584543225.010843,-0
-0.232710,1584543225.110918,-0
-0.290888,1584543225.212779,-0
-0.290888,1584543225.311127,-0
-0.290888,1584543225.410896,-0.140948
-0.261799,1584543225.511004,-0.0869637
-0.261799,1584543225.611494,-0
-0.290888,1584543225.712681,-0
-0.290888,1584543225.813764,-0
-0.261799,1584543225.911023,-0
-0.261799,1584543226.011044,-0
-0.261799,1584543226.110867,-0
-0.232710,1584543226.212740,-0
-0.029089,1584543226.310639,-0
-0.203622,1584543226.410831,-0
0.000000,1584543226.510587,-0
-0.116355,1584543226.611344,-0
0.058178,1584543226.712603,-0
0.203622,1584543226.810541,0.0719785
0.087266,1584543226.910469,0.0719785
0.087266,1584543227.010694,0.0719785
0.232710,1584543227.110427,0.0749791
0.232710,1584543227.212388,0.0719785
0.145444,1584543227.310623,0.0629856
0.029089,1584543227.410379,0.0269964
0.087266,1584543227.510352,0.0269964
0.058178,1584543227.611736,0.0269964
0.087266,1584543227.712318,0.0269964
0.087266,1584543227.810585,0.0269964
0.087266,1584543227.910464,0.029997
0.058178,1584543228.010310,0.0539839
0.058178,1584543228.110658,0.0629856
0.029089,1584543228.212906,0.0629856
0.000000,1584543228.310326,0.0629856
-0.058178,1584543228.410569,0.0629856
-0.116355,1584543228.510487,0.0629856
-0.203622,1584543228.610875,0.0629856
-0.174533,1584543228.715870,0.0599851
-0.261799,1584543228.810895,-0
-0.261799,1584543228.910154,-0.053975
-0.290888,1584543229.010074,-0.290888
